route,question,response_code,response_label,operational_definition,assigned_level,extractor_rule
Habitat,Q4,H0,Observed alternative,"The source observes the fish in a non-kelp habitat at the sampled place and time and genuinely assesses habitat.",0,"Code one record for the source and route. Silence about kelp is not H0."
Habitat,Q4,H1,Co-occurrence,"The source observes the fish within or immediately adjacent to measured or explicitly identified kelp habitat.",1,"Geographic or depth overlap alone is not H1."
Habitat,Q5,HF,Frequency metadata,"The source reports repeated occurrence, abundance or occupancy in kelp habitat.",,"Retain the quantitative value and sampling effort. Do not raise the evidence level without a higher gate."
Habitat,Q6,H2,Structural use,"The source observes an action involving physical kelp structure, including shelter, attachment, nesting or movement through the structure.",2,"Record life stage separately. Occurrence within kelp without an action remains H1."
Habitat,Q7,H3,Selection,"Use of kelp is greater than expected from measured availability or a valid habitat-choice comparison.",3,"A greater raw count in kelp without availability is not selection."
Habitat,Q7,H4,Contribution,"Kelp use is linked to survival, growth, reproduction, recruitment or population performance.",4,"A plausible mechanism without a measured fitness or demographic response remains at the lower supported level."
Habitat,Q7,H5,Dependence,"A valid removal, loss, counterfactual or equivalent comparison shows that alternative habitat does not replace the kelp function.",5,"Strong association or expert wording alone is not dependence."
Trophic,Q5,T0,Observed alternative,"The source genuinely assesses diet and observes non-kelp food without an identified kelp or kelp-linked item.",0,"Silence about diet or kelp is not T0."
Trophic,Q5,T1,Trophic co-occurrence,"Feeding is observed in kelp habitat but the consumed item or kelp-carbon link is not identified.",1,"Location of feeding alone cannot support T2."
Trophic,Q5,T2,Trophic use,"The source identifies ingested kelp or a kelp-linked prey item with a stated direct or indirect pathway.",2,"Record the item and pathway. A generic prey list without a kelp link is insufficient."
Trophic,Q6,TF,Proportion metadata,"The source quantifies frequency, mass, number or volume of kelp or kelp-linked dietary items.",,"Retain the metric, denominator and sample size. Quantity alone does not support selection."
Trophic,Q6,T3,Selection,"Kelp or kelp-linked food is consumed more than expected from measured environmental availability.",3,"Dietary dominance without availability is T2, not T3."
Trophic,Q7,T4,Contribution,"The kelp-derived trophic pathway is linked to survival, growth, condition, reproduction, recruitment or population performance.",4,"Stable-isotope or food-web linkage alone is use unless a performance response is measured."
Trophic,Q7,T5,Dependence,"A valid removal, loss, counterfactual or equivalent comparison shows that alternative food pathways do not replace kelp-derived support.",5,"Strong dietary association or expert wording alone is not dependence."
Both,All,X,Not assessed,"The source does not contain the observations needed to assess this route or question.",,"Record as not assessed and exclude it from the likelihood."
