"table_order","common_name_published","scientific_name_published","accepted_name","fishery_published","exploitation_status_published","in_species_frame_v7","rfbf_scope_v7","modelled_v7","n_model_records_v7","n_analysis_records_v7","model_status_v7","source_table_note"
1,"Baardman","Umbrina sp.","Umbrina robinsoni","Recreational","Susceptible to overfishing",TRUE,TRUE,TRUE,27,27,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
2,"Black musselcracker","Cymatoceps nasutus","Cymatoceps nasutus","Recreational","Unknown, but vulnerable to fishing pressure",TRUE,TRUE,TRUE,46,46,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
3,"Blacktail","Diplodus sargus capensis","Diplodus capensis","Recreational","Susceptible to overfishing",TRUE,TRUE,TRUE,145,145,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
4,"Bronze bream","Pachymetopon grande","Pachymetopon grande","Recreational","IUCN near threatened",TRUE,TRUE,TRUE,42,42,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
5,"Cape knifejaw","Oplegnathus conwayi","Oplegnathus conwayi","Recreational","Unknown",TRUE,TRUE,TRUE,20,20,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
6,"Cape stumpnose","Rhabdosargus holubi","Rhabdosargus holubi","Recreational","IUCN least concern",TRUE,TRUE,TRUE,129,129,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
7,"Carpenter","Argyrozona argyrozona","Argyrozona argyrozona","Commercial & recreational","Optimally exploited (previously overfished)",TRUE,TRUE,TRUE,53,54,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
8,"Common smooth-hound shark","Mustelus mustelus","Mustelus mustelus","Commercial","IUCN vulnerable",TRUE,TRUE,TRUE,64,64,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
9,"Dageraad","Chrysoblephus cristiceps","Chrysoblephus cristiceps","Commercial & recreational","Overexploited",TRUE,TRUE,TRUE,36,36,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
10,"Dorado","Coryphaena hippurus","Coryphaena hippurus","Commercial","Unknown",FALSE,,FALSE,0,0,"not_in_rfbf_species_frame","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
